Title,Address,Price,Bedrooms,Bathrooms,Square Footage
Condo in Murray Hill,77 Park Avenue #7D,1895000,2,2,1350
Condo in Murray Hill,225 East 34th Street #2G,1499000,2,2,1110
Condo in Murray Hill,630 First Avenue #17K,1260000,2,2,983
Co-op in Murray Hill,242 East 38th Street #6C,750000,2,1,NA
Condo in Murray Hill,308 East 38th Street #8B,1399000,2,2,1190
Condo in Murray Hill,250 East 40th Street #17B,1250000,2,2,1002
Condo in Murray Hill,250 East 40th Street #18B,1295000,2,2,1100
Co-op in Murray Hill,305 East 40th Street #12K,930000,2,1,NA
Condo in Murray Hill,143 East 34th Street #9N,1625000,2,2,1200
Condo in Murray Hill,333 East 34th Street #PHC,1395000,2,2,1200
Condo in Murray Hill,225 East 34th Street #7C,1650000,2,2,1248
Co-op in Murray Hill,305 East 40th Street #18D,1250000,2,2,NA
Co-op in Murray Hill,211 East 35th Street #4F,695000,2,1,NA
Condo in Murray Hill,333 East 34th Street #6E,1050000,2,1,900
Co-op in Murray Hill,211 East 35th Street #4F,695000,2,1,NA
Condo in Murray Hill,415 East 37th Street #29G,1275000,2,2,927
Co-op in Murray Hill,50 Park Avenue #6CD,1645000,2,2,NA
Condo in Murray Hill,333 East 34th Street #4L,1295000,2,2,1185
Co-op in Murray Hill,137 East 36th Street #15F,1850000,2,2.5,NA
Co-op in Murray Hill,160 East 38th Street #22D,1199000,2,1.5,NA
Co-op in Murray Hill,55 Park Avenue #14E,895000,2,1,NA
Co-op in Murray Hill,137 East 36th Street #3G,850000,2,1.5,NA
Co-op in Murray Hill,140 East 40th Street #1D,1275000,2,1.5,NA
Co-op in Murray Hill,240 East 35th Street #1H,849000,2,2,NA
Condo in Murray Hill,591 Third Avenue #10A,1795000,2,2,1077
Co-op in Murray Hill,310 Lexington Avenue #10FG,1090000,2,2,1250
Co-op in Murray Hill,137 East 36th Street #3G,850000,2,1.5,NA
Co-op in Murray Hill,211 East 35th Street #4F,695000,2,1,NA
Condo in Murray Hill,201 East 36th Street #2E,745000,2,1,808
Co-op in Murray Hill,138 East 36th Street #UNIT8C,1475000,2,2,1600
Condo in Murray Hill,225 East 34th Street #3I,1850000,2,2,1350
Condo in Murray Hill,330 East 38th Street #5E,1650000,2,2,1171
Condo in Murray Hill,201 East 36th Street #5F,800000,2,1,NA
Co-op in Murray Hill,137 East 36th Street #3A,1100000,2,1.5,NA
Co-op in Murray Hill,23 Park Avenue #1N,1975000,2,2.5,NA
Condo in Murray Hill,77 Park Avenue #7D,1895000,2,2,1350
Co-op in Murray Hill,35 Park Avenue #14C,1095000,2,2,NA
Condo in Murray Hill,330 East 38th Street #52K,1500000,2,2,1134
Condo in Murray Hill,225 East 34th Street #2G,1499000,2,2,1110
